"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","01:00:00:00","01:00:00:01","00:00:00:01","01:00:00:00","01:00:00:01","","","","","","","0.000","","Red","Marker 1","",""
"2","","","","C","","01:00:19:23","01:00:19:24","00:00:00:01","01:00:19:23","01:00:19:24","","","","","","","0.000","","Red","Marker 2","",""
"3","","","","C","","01:01:25:04","01:01:25:05","00:00:00:01","01:01:25:04","01:01:25:05","","","","","","","0.000","","Red","Marker 3","",""
"4","","","","C","","01:07:04:23","01:07:04:24","00:00:00:01","01:07:04:23","01:07:04:24","","","","","","","0.000","","Red","Marker 4","",""
"5","","","","C","","01:07:32:51","01:07:32:52","00:00:00:01","01:07:32:51","01:07:32:52","","","","","","","0.000","","Red","Marker 5","",""
"6","","","","C","","01:07:56:21","01:07:56:22","00:00:00:01","01:07:56:21","01:07:56:22","","","","","","","0.000","","Red","Marker 6","",""
"7","","","","C","","01:08:16:04","01:08:16:05","00:00:00:01","01:08:16:04","01:08:16:05","","","","","","","0.000","","Red","Marker 7","",""
"8","","","","C","","01:08:45:13","01:08:45:14","00:00:00:01","01:08:45:13","01:08:45:14","","","","","","","0.000","","Red","Marker 8","",""
"9","","","","C","","01:09:34:05","01:09:34:06","00:00:00:01","01:09:34:05","01:09:34:06","","","","","","","0.000","","Red","Marker 9","",""
"10","","","","C","","01:10:34:28","01:10:34:29","00:00:00:01","01:10:34:28","01:10:34:29","","","","","","","0.000","","Red","Marker 10","",""
